ligand	ligand_complex	ligand_means	ligand_props	receptor	receptor_complex	receptor_means	receptor_props	source	target	lr_means	cellphone_pvals	-log10_pval
CCL22	CCL22	1.1289375	0.6086956521739131	DPP4	DPP4	0.13579488	0.1	T-cell Zone	Metabolically Active/Stressed?	0.6323662	0.0	10.0
TNFSF10	TNFSF10	3.924722	0.9191919191919192	TNFRSF10D	TNFRSF10D	0.13895527	0.1446280991735537	IFN Response Region	Germinal Center?	2.0318387	0.0	10.0
EPHB6	EPHB6	0.85036415	0.5760869565217391	EFNB2	EFNB2	0.4090989	0.2636363636363636	T-cell Zone	Metabolically Active/Stressed?	0.62973154	0.0	10.0
ANXA1	ANXA1	0.96811557	0.59472049689441	FPR1	FPR1	0.29281348	0.23178016726403824	T-cell Zone	Plasma Cell Region	0.63046455	0.0	10.0
TNFSF12	TNFSF12	0.8676314	0.5838509316770186	TNFRSF12A	TNFRSF12A	0.39436328	0.3402061855670103	T-cell Zone	Stroma/Myeloid	0.6309973	0.0	10.0
CD70	CD70	0.11634987	0.10533707865168539	CD27	CD27	3.9559896	0.9720496894409938	B-cell Follicle	T-cell Zone	2.0361698	0.0	10.0
CD24	CD24	3.6250017	0.9646539027982327	SELP	SELP	0.4582893	0.2840909090909091	Stroma/Myeloid	Metabolically Active/Stressed?	2.0416455	0.0	10.0
TNFSF10	TNFSF10	3.924722	0.9191919191919192	TNFRSF10D	TNFRSF10D	0.159083	0.14285714285714285	IFN Response Region	T-cell Zone	2.0419025	0.0	10.0
CD70	CD70	0.12814113	0.13696612665684832	CD27	CD27	3.9559896	0.9720496894409938	Stroma/Myeloid	T-cell Zone	2.0420654	0.0	10.0
CD70	CD70	0.1290058	0.13354037267080746	CD27	CD27	3.9559896	0.9720496894409938	T-cell Zone	T-cell Zone	2.0424976	0.0	10.0
ALOX5	ALOX5	2.8192472	0.9318181818181818	ALOX5AP	ALOX5AP	1.265944	0.7407952871870398	Germinal Center?	Stroma/Myeloid	2.0425956	0.0	10.0
ALOX5	ALOX5	2.8192472	0.9318181818181818	ALOX5AP	ALOX5AP	1.2684904	0.5727272727272728	Germinal Center?	Metabolically Active/Stressed?	2.0438688	0.0	10.0
FN1	FN1	1.4375296	0.5795454545454546	ITGB1	ITGA4_ITGB1	2.6063519	0.8022727272727272	Metabolically Active/Stressed?	Metabolically Active/Stressed?	2.0219407	0.0	10.0
PVR	PVR	0.13353065	0.10454545454545454	CD96	CD96	1.1288682	0.6754658385093167	Metabolically Active/Stressed?	T-cell Zone	0.6311994	0.0	10.0
TNFSF13B	TNFSF13B	0.53214306	0.3942652329749104	TNFRSF17	TNFRSF17	0.7306056	0.512396694214876	Plasma Cell Region	Germinal Center?	0.63137436	0.0	10.0
IL18	IL18	1.098678	0.6425619834710744	IL18RAP	IL18_IL18R1_IL18RAP	0.16559853	0.15217391304347827	Germinal Center?	T-cell Zone	0.63213825	0.0	10.0
CD24	CD24	3.7369142	0.9382022471910112	SELP	SELP	0.3266498	0.30303030303030304	B-cell Follicle	IFN Response Region	2.031782	0.0	10.0
OSM	OSM	0.09692935	0.10248447204968944	OSMR	IL6ST_OSMR	1.1683567	0.7025036818851251	T-cell Zone	Stroma/Myeloid	0.632643	0.0	10.0
LTA	LTA	0.43932596	0.3884297520661157	RIPK1	RIPK1	0.82650834	0.5964653902798233	Germinal Center?	Stroma/Myeloid	0.63291717	0.0	10.0
CD24	CD24	3.6250017	0.9646539027982327	SELP	SELP	0.42435363	0.3046594982078853	Stroma/Myeloid	Plasma Cell Region	2.0246778	0.0	10.0
TNC	TNC	3.5229201	0.8522727272727273	ITGA9	ITGA9_ITGB1	0.530041	0.4270986745213549	Metabolically Active/Stressed?	Stroma/Myeloid	2.0264807	0.0	10.0
THY1	THY1	3.5471017	0.9528718703976435	ITGAM	ITGAM_ITGB2	0.5058736	0.4167893961708395	Stroma/Myeloid	Stroma/Myeloid	2.0264876	0.0	10.0
CXCL12	CXCL12	3.87635	0.9293078055964654	DPP4	DPP4	0.17755732	0.16367980884109917	Stroma/Myeloid	Plasma Cell Region	2.0269537	0.0	10.0
CD24	CD24	3.7369142	0.9382022471910112	SELP	SELP	0.3178926	0.281055900621118	B-cell Follicle	T-cell Zone	2.0274034	0.0	10.0
CXCL9	CXCL9	3.822008	0.8400621118012422	CXCR3	CXCR3	0.234651	0.22727272727272727	T-cell Zone	Germinal Center?	2.0283294	0.0	10.0
LTA	LTA	0.39376062	0.35353535353535354	TNFRSF1B	TNFRSF1B	3.6642659	0.9705449189985272	IFN Response Region	Stroma/Myeloid	2.0290132	0.0	10.0
SEMA4A	SEMA4A	1.770632	0.7871900826446281	PLXND1	PLXND1	2.2898083	0.8939617083946981	Germinal Center?	Stroma/Myeloid	2.03022	0.0	10.0
CXCL9	CXCL9	3.4985917	0.9090909090909091	CXCR3	CXCR3	0.56210697	0.4363354037267081	IFN Response Region	T-cell Zone	2.0303493	0.0	10.0
CXCL12	CXCL12	3.87635	0.9293078055964654	DPP4	DPP4	0.15440933	0.15169366715758467	Stroma/Myeloid	Stroma/Myeloid	2.0153797	0.0	10.0
PVR	PVR	0.1373434	0.12603305785123967	CD96	CD96	1.1288682	0.6754658385093167	Germinal Center?	T-cell Zone	0.6331058	0.0	10.0
LTA	LTA	0.4595619	0.35252808988764045	LTBR	LTBR	0.8077588	0.5905743740795287	B-cell Follicle	Stroma/Myeloid	0.6336604	0.0	10.0
EPHB6	EPHB6	0.7110363	0.48735955056179775	EFNB2	EFNB2	0.5581042	0.43388429752066116	B-cell Follicle	Germinal Center?	0.63457024	0.0	10.0
THY1	THY1	3.5471017	0.9528718703976435	ITGAM	ITGAM_ITGB2	0.54112524	0.38636363636363635	Stroma/Myeloid	Germinal Center?	2.0441134	0.0	10.0
CXCL1	CXCL1	0.56093115	0.3477272727272727	ACKR1	ACKR1	3.5907104	0.9499263622974963	Metabolically Active/Stressed?	Stroma/Myeloid	2.0758207	0.0	10.0
TNFSF13B	TNFSF13B	0.7584149	0.5496894409937888	TNFRSF17	TNFRSF17	0.48728275	0.32272727272727275	T-cell Zone	Metabolically Active/Stressed?	0.62284887	0.0	10.0
LTA	LTA	0.43932596	0.3884297520661157	LTBR	LTBR	0.8077588	0.5905743740795287	Germinal Center?	Stroma/Myeloid	0.62354237	0.0	10.0
TNFSF10	TNFSF10	3.924722	0.9191919191919192	TNFRSF10A	TNFRSF10A	0.17983009	0.15651135005973715	IFN Response Region	Plasma Cell Region	2.0522761	0.0	10.0
TNFSF10	TNFSF10	3.924722	0.9191919191919192	TNFRSF10A	TNFRSF10A	0.18124175	0.18851251840942562	IFN Response Region	Stroma/Myeloid	2.0529819	0.0	10.0
CCL4	CCL4	1.0296091	0.6111929307805597	CCR5	CCR5	0.22551313	0.16590909090909092	Stroma/Myeloid	Metabolically Active/Stressed?	0.6275611	0.0	10.0
FGF7	FGF7	0.40786415	0.3431516936671576	FGFR1	FGFR1	0.84758174	0.5949926362297496	Stroma/Myeloid	Stroma/Myeloid	0.627723	0.0	10.0
CD1D	CD1D	0.9484499	0.5603932584269663	LILRB2	LILRB2	0.307667	0.32323232323232326	B-cell Follicle	IFN Response Region	0.62805843	0.0	10.0
CXCL12	CXCL12	3.87635	0.9293078055964654	CXCR3	CXCR3	0.234651	0.22727272727272727	Stroma/Myeloid	Germinal Center?	2.0555005	0.0	10.0
TNFSF10	TNFSF10	3.924722	0.9191919191919192	TNFRSF10D	TNFRSF10D	0.18674736	0.20202020202020202	IFN Response Region	IFN Response Region	2.0557346	0.0	10.0
TNFSF10	TNFSF10	3.924722	0.9191919191919192	TNFRSF10D	TNFRSF10D	0.1925805	0.16965352449223417	IFN Response Region	Plasma Cell Region	2.0586512	0.0	10.0
NAMPT	NAMPT	3.516066	0.9543446244477173	ADORA2A	ADORA2A	0.6014769	0.4992636229749632	Stroma/Myeloid	Stroma/Myeloid	2.0587716	0.0	10.0
TNFSF10	TNFSF10	3.924722	0.9191919191919192	TNFRSF10D	TNFRSF10D	0.19882965	0.16432584269662923	IFN Response Region	B-cell Follicle	2.0617757	0.0	10.0
LTA	LTA	0.4595619	0.35252808988764045	TNFRSF1B	TNFRSF1B	3.6642659	0.9705449189985272	B-cell Follicle	Stroma/Myeloid	2.061914	0.0	10.0
TNFSF12	TNFSF12	0.7415622	0.4934289127837515	TNFRSF25	TNFRSF25	3.3836079	0.9487577639751553	Plasma Cell Region	T-cell Zone	2.062585	0.0	10.0
LAMC1	LAMC1	0.7675443	0.4068181818181818	ITGA7	ITGA7_ITGB1	0.5021433	0.29318181818181815	Metabolically Active/Stressed?	Metabolically Active/Stressed?	0.6348438	0.0	10.0
CXCL9	CXCL9	3.822008	0.8400621118012422	DPP4	DPP4	0.26654488	0.2375776397515528	T-cell Zone	T-cell Zone	2.0442765	0.0	10.0
